,airport_code,city_name,avg_daily_flights,percent_delayed,num_unique_airlines,unique_airlines,mean_dep_delay,std_dep_delay
20,ATL,"Atlanta, GA",875.707182320442,33.50220500558349,13,"['OO', 'UA', '9E', 'AA', 'WN', 'NK', 'YX', 'DL', 'F9', 'OH', 'B6', 'MQ', 'AS']",11.095032901585459,52.47364106526251
90,DEN,"Denver, CO",826.3370165745856,38.87020532604117,10,"['OO', 'UA', 'AA', 'WN', 'DL', 'F9', 'G4', 'B6', 'MQ', 'AS']",11.841161486156706,54.011155292111376
91,DFW,"Dallas/Fort Worth, TX",823.3259668508288,37.007287514595156,12,"['OO', 'UA', '9E', 'AA', 'YX', 'NK', 'DL', 'F9', 'OH', 'B6', 'MQ', 'AS']",16.483438686905288,63.40476995821969
238,ORD,"Chicago, IL",746.9116022099447,34.29888084265965,12,"['OO', 'UA', '9E', 'AA', 'WN', 'NK', 'YX', 'DL', 'F9', 'B6', 'MQ', 'AS']",12.450399804720728,58.94270206777097
70,CLT,"Charlotte, NC",572.060773480663,36.747051949431636,11,"['UA', '9E', 'AA', 'WN', 'NK', 'YX', 'DL', 'F9', 'OH', 'B6', 'MQ']",13.555469708237158,56.395242148612965
249,PHX,"Phoenix, AZ",533.182320441989,33.104677429382626,12,"['OO', 'UA', 'AA', 'WN', 'NK', 'DL', 'F9', 'G4', 'B6', 'MQ', 'HA', 'AS']",8.830300706691812,51.02668825426484
183,LAX,"Los Angeles, CA",512.1325966850828,27.91274704410115,12,"['OO', 'UA', 'AA', 'WN', 'NK', 'DL', 'F9', 'G4', 'B6', 'MQ', 'HA', 'AS']",6.689803227755243,58.11249774268926
181,LAS,"Las Vegas, NV",508.0718232044199,37.3647524494079,11,"['OO', 'UA', 'AA', 'WN', 'NK', 'DL', 'F9', 'G4', 'B6', 'HA', 'AS']",9.970443992562064,56.3358883375035
294,SEA,"Seattle, WA",415.3370165745856,35.625731616473345,11,"['OO', 'UA', 'AA', 'WN', 'NK', 'DL', 'F9', 'B6', 'MQ', 'HA', 'AS']",10.08647706714909,50.457170979556444
192,LGA,"New York, NY",408.7513812154696,26.266490051903112,10,"['UA', '9E', 'AA', 'WN', 'NK', 'YX', 'DL', 'F9', 'B6', 'OO']",5.693230968858131,60.137176266584106
203,MCO,"Orlando, FL",407.05555555555554,37.11614576224922,10,"['UA', 'AA', 'WN', 'NK', 'YX', 'DL', 'F9', 'G4', 'B6', 'AS']",10.697024703152723,59.96807683374351
43,BOS,"Boston, MA",379.88950276243094,30.901687027341477,12,"['UA', 'AA', 'WN', 'NK', 'YX', 'DL', 'HA', 'F9', 'G4', 'B6', 'MQ', 'AS']",8.969909831297265,64.86097986231096
296,SFO,"San Francisco, CA",375.4640883977901,33.8218631822128,9,"['OO', 'UA', 'AA', 'WN', 'DL', 'F9', 'B6', 'HA', 'AS']",11.527803528598126,62.28808202405956
87,DCA,"Washington, DC",367.96685082872926,32.40443229933035,12,"['UA', 'OO', '9E', 'AA', 'WN', 'YX', 'DL', 'F9', 'OH', 'B6', 'MQ', 'AS']",12.813999579592204,68.28593531488929
98,DTW,"Detroit, MI",343.4088397790055,29.690943900123877,13,"['OO', 'UA', '9E', 'AA', 'WN', 'NK', 'YX', 'DL', 'F9', 'OH', 'B6', 'MQ', 'AS']",10.091445854851425,58.992137658485746
